month,state,district,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_
2025-03-01,Andaman And Nicobar Islands,Andamans,0.0,0.0,0.0,0.0,0.0,16.0,193.0
2025-03-01,Andaman And Nicobar Islands,Nicobar,0.0,0.0,0.0,32.0,360.0,178.0,101.0
2025-03-01,Andaman And Nicobar Islands,North And Middle Andaman,0.0,0.0,0.0,20.0,402.0,470.0,347.0
2025-03-01,Andaman And Nicobar Islands,South Andaman,0.0,0.0,0.0,74.0,450.0,948.0,450.0
2025-03-01,Andhra Pradesh,Adilabad,0.0,0.0,0.0,390.0,3950.0,897.0,4366.0
2025-03-01,Andhra Pradesh,Alluri Sitharama Raju,0.0,0.0,0.0,507.0,4448.0,585.0,1408.0
2025-03-01,Andhra Pradesh,Anakapalli,0.0,0.0,0.0,373.0,2791.0,218.0,234.0
2025-03-01,Andhra Pradesh,Anantapur,0.0,0.0,0.0,953.0,19013.0,3363.0,6499.0
2025-03-01,Andhra Pradesh,Ananthapur,0.0,0.0,0.0,2020.0,7310.0,11722.0,2215.0
2025-03-01,Andhra Pradesh,Ananthapuramu,0.0,0.0,0.0,2547.0,7891.0,14063.0,2087.0
2025-03-01,Andhra Pradesh,Annamayya,0.0,0.0,0.0,526.0,3272.0,235.0,270.0
2025-03-01,Andhra Pradesh,Bapatla,0.0,0.0,0.0,232.0,1653.0,114.0,131.0
2025-03-01,Andhra Pradesh,Chittoor,0.0,0.0,0.0,4070.0,38298.0,18773.0,9414.0
2025-03-01,Andhra Pradesh,Cuddapah,0.0,0.0,0.0,1786.0,16961.0,11599.0,5222.0
2025-03-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,0.0,0.0,0.0,240.0,2136.0,116.0,181.0
2025-03-01,Andhra Pradesh,East Godavari,0.0,0.0,0.0,3391.0,37620.0,18286.0,11512.0
2025-03-01,Andhra Pradesh,Eluru,0.0,0.0,0.0,283.0,2536.0,171.0,308.0
2025-03-01,Andhra Pradesh,Guntur,0.0,0.0,0.0,3060.0,40302.0,19655.0,11604.0
2025-03-01,Andhra Pradesh,Hyderabad,0.0,0.0,0.0,695.0,6045.0,2070.0,9936.0
2025-03-01,Andhra Pradesh,K.V. Rangareddy,0.0,0.0,0.0,0.0,0.0,11.0,6.0
2025-03-01,Andhra Pradesh,Kakinada,0.0,0.0,0.0,638.0,4748.0,203.0,317.0
2025-03-01,Andhra Pradesh,Karim Nagar,0.0,0.0,0.0,0.0,0.0,26.0,117.0
2025-03-01,Andhra Pradesh,Karimnagar,0.0,0.0,0.0,93.0,766.0,269.0,1150.0
2025-03-01,Andhra Pradesh,Khammam,0.0,0.0,0.0,431.0,4962.0,1070.0,2855.0
2025-03-01,Andhra Pradesh,Krishna,0.0,0.0,0.0,1711.0,21831.0,16816.0,9887.0
2025-03-01,Andhra Pradesh,Kurnool,0.0,0.0,0.0,3650.0,31715.0,27662.0,10576.0
2025-03-01,Andhra Pradesh,Mahabub Nagar,0.0,0.0,0.0,26.0,184.0,45.0,269.0
2025-03-01,Andhra Pradesh,Mahbubnagar,0.0,0.0,0.0,169.0,1133.0,274.0,1114.0
2025-03-01,Andhra Pradesh,Medak,0.0,0.0,0.0,215.0,1387.0,421.0,1488.0
2025-03-01,Andhra Pradesh,N. T. R,0.0,0.0,0.0,775.0,6936.0,380.0,740.0
2025-03-01,Andhra Pradesh,Nalgonda,0.0,0.0,0.0,146.0,2240.0,292.0,1601.0
2025-03-01,Andhra Pradesh,Nandyal,0.0,0.0,0.0,339.0,2135.0,283.0,280.0
2025-03-01,Andhra Pradesh,Nellore,0.0,0.0,0.0,944.0,16115.0,5113.0,6240.0
2025-03-01,Andhra Pradesh,Nizamabad,0.0,0.0,0.0,53.0,476.0,233.0,677.0
2025-03-01,Andhra Pradesh,Palnadu,0.0,0.0,0.0,323.0,2765.0,293.0,311.0
2025-03-01,Andhra Pradesh,Parvathipuram Manyam,0.0,0.0,0.0,201.0,1664.0,362.0,487.0
2025-03-01,Andhra Pradesh,Prakasam,0.0,0.0,0.0,2116.0,27970.0,11991.0,7242.0
2025-03-01,Andhra Pradesh,Rangareddi,0.0,0.0,0.0,463.0,3060.0,1114.0,5136.0
2025-03-01,Andhra Pradesh,Spsr Nellore,43.0,44.0,29.0,0.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Sri Potti Sriramulu Nellore,0.0,0.0,0.0,392.0,2890.0,110.0,172.0
2025-03-01,Andhra Pradesh,Sri Sathya Sai,0.0,0.0,0.0,535.0,2386.0,738.0,463.0
2025-03-01,Andhra Pradesh,Srikakulam,0.0,0.0,0.0,5275.0,37687.0,22984.0,6997.0
2025-03-01,Andhra Pradesh,Tirupati,0.0,0.0,0.0,478.0,4139.0,268.0,382.0
2025-03-01,Andhra Pradesh,Visakhapatnam,0.0,0.0,0.0,3222.0,36984.0,21850.0,15143.0
2025-03-01,Andhra Pradesh,Vizianagaram,0.0,0.0,0.0,2141.0,20324.0,11966.0,6473.0
2025-03-01,Andhra Pradesh,Warangal,0.0,0.0,0.0,728.0,6167.0,1215.0,4034.0
