state,district,month,recommendations
Andaman And Nicobar Islands,Andamans,2025-12-01,Maintain Current Operations
Andaman And Nicobar Islands,Nicobar,2025-12-01,Maintain Current Operations
Andaman And Nicobar Islands,Nicobars,2025-12-01,Maintain Current Operations
Andaman And Nicobar Islands,North And Middle Andaman,2025-12-01,Maintain Current Operations
Andaman And Nicobar Islands,South Andaman,2025-12-01,Maintain Current Operations
Andhra Pradesh,Adilabad,2025-12-01,Maintain Current Operations
Andhra Pradesh,Alluri Sitharama Raju,2025-12-01,Maintain Current Operations
Andhra Pradesh,Anakapalli,2025-12-01,Maintain Current Operations
Andhra Pradesh,Anantapur,2025-12-01,Maintain Current Operations
Andhra Pradesh,Ananthapur,2025-12-01,Maintain Current Operations
Andhra Pradesh,Ananthapuramu,2025-12-01,Maintain Current Operations
Andhra Pradesh,Annamayya,2025-12-01,Maintain Current Operations
Andhra Pradesh,Bapatla,2025-12-01,Maintain Current Operations
Andhra Pradesh,Chittoor,2025-12-01,Maintain Current Operations
Andhra Pradesh,Cuddapah,2025-12-01,Maintain Current Operations
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025-12-01,Maintain Current Operations
Andhra Pradesh,East Godavari,2025-12-01,Maintain Current Operations
Andhra Pradesh,Eluru,2025-12-01,Maintain Current Operations
Andhra Pradesh,Guntur,2025-12-01,Maintain Current Operations
Andhra Pradesh,Hyderabad,2025-12-01,Maintain Current Operations
Andhra Pradesh,K.V. Rangareddy,2025-12-01,Maintain Current Operations
Andhra Pradesh,K.V.Rangareddy,2025-12-01,Maintain Current Operations
Andhra Pradesh,Kakinada,2025-12-01,Maintain Current Operations
Andhra Pradesh,Karim Nagar,2025-12-01,Maintain Current Operations
Andhra Pradesh,Karimnagar,2025-12-01,Maintain Current Operations
Andhra Pradesh,Khammam,2025-12-01,Maintain Current Operations
Andhra Pradesh,Krishna,2025-12-01,Maintain Current Operations
Andhra Pradesh,Kurnool,2025-12-01,Maintain Current Operations
Andhra Pradesh,Mahabub Nagar,2025-12-01,Maintain Current Operations
Andhra Pradesh,Mahabubnagar,2025-12-01,Maintain Current Operations
Andhra Pradesh,Mahbubnagar,2025-12-01,Maintain Current Operations
Andhra Pradesh,Medak,2025-12-01,Maintain Current Operations
Andhra Pradesh,N. T. R,2025-12-01,Maintain Current Operations
Andhra Pradesh,Nalgonda,2025-12-01,Maintain Current Operations
Andhra Pradesh,Nandyal,2025-12-01,Maintain Current Operations
Andhra Pradesh,Nellore,2025-12-01,Maintain Current Operations
Andhra Pradesh,Nizamabad,2025-12-01,Maintain Current Operations
Andhra Pradesh,Palnadu,2025-12-01,Maintain Current Operations
Andhra Pradesh,Parvathipuram Manyam,2025-12-01,Maintain Current Operations
Andhra Pradesh,Prakasam,2025-12-01,Maintain Current Operations
Andhra Pradesh,Rangareddi,2025-12-01,Maintain Current Operations
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025-12-01,Maintain Current Operations
Andhra Pradesh,Sri Sathya Sai,2025-12-01,Maintain Current Operations
Andhra Pradesh,Srikakulam,2025-12-01,Maintain Current Operations
Andhra Pradesh,Tirupati,2025-12-01,Maintain Current Operations
Andhra Pradesh,Visakhapatnam,2025-12-01,Maintain Current Operations
Andhra Pradesh,Vizianagaram,2025-12-01,Maintain Current Operations
Andhra Pradesh,Warangal,2025-12-01,Maintain Current Operations
Andhra Pradesh,West Godavari,2025-12-01,Maintain Current Operations
Andhra Pradesh,Y. S. R,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Anjaw,2025-12-01,Maintain Current Operations
Arunachal Pradesh,Changlang,2025-12-01,Maintain Current Operations
